"File","ExistedBefore","CyrillicBefore","CyrillicAfter","MojibakeAfter","Corrupted"
"SCLOCVerse/Models/ApplicationUpdate/UpdateOperation.cs","False","0","0","0","False"
"SCLOCVerse/Models/ApplicationUpdate/UpdateOperationResult.cs","False","0","0","0","False"
"SCLOCVerse/Models/ApplicationUpdate/VersionManagerItem.cs","False","0","0","0","False"
"SCLOCVerse/Models/EnvironmentOption.cs","False","0","0","0","False"
"SCLOCVerse/Models/LiaModels/LiaStatusColor.cs","False","0","0","0","False"
"SCLOCVerse/Models/LiaModels/SyncResult.cs","False","0","0","0","False"
"SCLOCVerse/Models/LocalizationDeleteResul.cs","False","0","0","0","False"
"SCLOCVerse/Models/LocalizationInstallResult.cs","False","0","0","0","False"
"SCLOCVerse/Models/ReadmeData.cs","False","0","0","0","False"
"SCLOCVerse/PathText.json","False","0","1077","0","False"
"SCLOCVerse/SCLOCVerse.csproj","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/ApplicationUpdateService.cs","False","0","196","0","False"
"SCLOCVerse/Services/ApplicationUpdate/ApplicationVersionProvider.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/BackgroundUpdateMonitor.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/GitHubReleaseClient.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateCacheService.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateChannelService.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateDownloader.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateHistoryService.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateInstaller.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateScriptBuilder.cs","False","0","0","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateStatusPresenter.cs","False","0","106","0","False"
"SCLOCVerse/Services/ApplicationUpdate/UpdateVerifier.cs","False","0","0","0","False"
"SCLOCVerse/Services/Cache/CacheCleaner.cs","False","0","0","0","False"
"SCLOCVerse/Services/Cache/CacheCleanupOptions.cs","False","0","0","0","False"
"SCLOCVerse/Services/Cache/CleanupController.cs","False","0","301","0","False"
"SCLOCVerse/Services/Cache/ShaderCacheEntry.cs","False","0","0","0","False"
"SCLOCVerse/Services/Cache/ShaderCacheInspection.cs","False","0","0","0","False"
"SCLOCVerse/Services/Cache/ShaderCacheInspector.cs","False","0","0","0","False"
"SCLOCVerse/Services/Common/DialogService.cs","False","0","155","0","False"
"SCLOCVerse/Services/Common/FolderSearchService.cs","False","0","47","23","True"
"SCLOCVerse/Services/Common/IgnoreRulesProvider.cs","False","0","0","0","False"
"SCLOCVerse/Services/LiaServices/AppSettings.cs","False","0","0","0","False"
"SCLOCVerse/Services/LiaServices/UpdateCheckerService.cs","False","0","0","0","False"
"SCLOCVerse/Services/LiaServices/Updater.cs","False","0","310","0","False"
"SCLOCVerse/Services/LocalizationServices/LocalizationInstaller.cs","False","0","172","100","True"
"SCLOCVerse/Services/LocalizationServices/LocalizationMessages.cs","False","0","571","0","False"
"SCLOCVerse/Services/SearchFolder.cs","False","0","0","0","False"
"SCLOCVerse/Services/SettingsService.cs","False","0","23","0","False"
"SCLOCVerse/Services/ToastService.cs","False","0","0","0","False"
"SCLOCVerse/Settings.Designer.cs","False","0","0","0","False"
"SCLOCVerse/Settings.settings","False","0","0","0","False"
"SCLOCVerse/ViewModels/MainWindowViewModel.cs","False","0","0","0","False"
"SCLOCVerse/Windows/UpdateHistoryWindow.xaml","False","0","199","0","False"
"SCLOCVerse/Windows/UpdateHistoryWindow.xaml.cs","False","0","153","0","False"
"SCLOCVerse/app_icon.ico","False","0","0","61686","True"
